perfume_name,brand_value,main_accord1,main_accord2,main_accord3,season,longevity,rating,voters_num,main_accord1_ratio,main_accord2_ratio,main_accord3_ratio
Citrus Hesperida,popular,CITRUSSMELLS,WOODSANDMOSSES,WHITEFLOWERS,spring,moderate,3.4,10,0.5,0.25,0.25
Lavandula Vera,popular,FLOWERS,GREENSHERBSANDFOUGERES,SPICES,summer,weak,4.12,8,0.45,0.3,0.25
Thea Verde,popular,GREENSHERBSANDFOUGERES,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,summer,weak,4,8,0.44,0.31,0.25
Vetivera Herbacea,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,CITRUSSMELLS,spring,moderate,3.95,19,0.35,0.34,0.31
Brume de Jasmin,popular,FLOWERS,WHITEFLOWERS,FRUITSVEGETABLESANDNUTS,spring,very_weak,4.09,22,0.36,0.34,0.3
Les Contes Bucoliques Bal de Clochettes,popular,WHITEFLOWERS,GREENSHERBSANDFOUGERES,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,weak,4.04,24,0.42,0.29,0.29
Les Contes Bucoliques Clair de Rose,popular,FLOWERS,FLOWERS,MUSKAMBERANIMALICSMELLS,spring,very_weak,3.85,41,0.41,0.33,0.26
Les Contes Bucoliques Danse des Nympheas,popular,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,GREENSHERBSANDFOUGERES,summer,weak,3.93,14,0.44,0.29,0.27
Les Contes Bucoliques Fleur d'Oranger,popular,WHITEFLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,CITRUSSMELLS,spring,moderate,4.29,17,0.43,0.29,0.28
Les Contes Bucoliques Fleur de Cerisier,popular,FLOWERS,FRUITSVEGETABLESANDNUTS,FRUITSVEGETABLESANDNUTS,spring,very_weak,4.21,14,0.39,0.34,0.26
Violette Cherie,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,spring,moderate,4.32,53,0.41,0.3,0.29
Violette Divine,popular,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,spring,moderate,4.09,137,0.35,0.34,0.32
Oud Wa Amber,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,winter,long_lasting,3.83,12,0.39,0.31,0.3
Arz el-rab,popular,WOODSANDMOSSES,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,3.91,111,0.43,0.29,0.28
Assam of India,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,3.99,273,0.4,0.32,0.28
Azur Riviera,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,WHITEFLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,3.78,68,0.41,0.34,0.25
Guaria Morada,popular,WOODSANDMOSSES,CITRUSSMELLS,GREENSHERBSANDFOUGERES,summer,moderate,3.76,51,0.38,0.34,0.28
Hoja de Cuba,popular,GREENSHERBSANDFOUGERES,SPICES,SWEETSANDGOURMANDSMELLS,fall,moderate,4.18,122,0.43,0.3,0.28
Maasai Mara,popular,FRUITSVEGETABLESANDNUTS,SPICES,MUSKAMBERANIMALICSMELLS,fall,moderate,4.38,220,0.38,0.31,0.31
Oud Al Sahraa,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,CITRUSSMELLS,fall,moderate,4.19,129,0.39,0.37,0.25
Peng Lai,popular,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,FLOWERS,spring,moderate,3.83,151,0.38,0.32,0.3
Scorza di Sicilia,popular,CITRUSSMELLS,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,summer,weak,3.75,73,0.43,0.31,0.26
Selva do Brazil,popular,GREENSHERBSANDFOUGERES,CITRUSSMELLS,WOODSANDMOSSES,summer,moderate,3.84,153,0.35,0.34,0.31
Somei Yoshino,popular,WHITEFLOWERS,GREENSHERBSANDFOUGERES,GREENSHERBSANDFOUGERES,spring,moderate,3.39,165,0.43,0.3,0.27
Koh Phi Phi,popular,FLOWERS,WHITEFLOWERS,WHITEFLOWERS,summer,long_lasting,4,9,0.38,0.33,0.28
1902 Bergamote Indigo,popular,CITRUSSMELLS,WHITEFLOWERS,GREENSHERBSANDFOUGERES,spring,weak,4,3,0.38,0.33,0.29
1902 Bois Ambre,popular,WOODSANDMOSSES,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,summer,weak,3.75,4,0.37,0.32,0.31
1902 Cedrat,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,GREENSHERBSANDFOUGERES,summer,moderate,4.8,5,0.42,0.29,0.29
1902 Citron Caviar,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,SPICES,summer,moderate,4.67,3,0.42,0.29,0.29
1902 Figue Blanche,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,summer,moderate,4.25,68,0.38,0.32,0.3
1902 Mandarine & Cuir,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,summer,weak,4.12,34,0.41,0.31,0.28
1902 Orange Fizz,popular,CITRUSSMELLS,SWEETSANDGOURMANDSMELLS,WHITEFLOWERS,summer,moderate,3.62,8,0.5,0.26,0.24
1902 The Blanc,popular,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,CITRUSSMELLS,spring,moderate,4.5,2,0.44,0.29,0.27
Eau des Alizes,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,GREENSHERBSANDFOUGERES,summer,weak,3,3,0.36,0.34,0.29
Musc Ylang Ylang,popular,SWEETSANDGOURMANDSMELLS,SPICES,FRUITSVEGETABLESANDNUTS,summer,very_weak,3.93,14,0.34,0.33,0.33
Vanille Neroli,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,WHITEFLOWERS,winter,moderate,3.86,14,0.47,0.27,0.26
Akaster,popular,FLOWERS,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,fall,long_lasting,3.85,230,0.35,0.33,0.32
Athalia,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,MUSKAMBERANIMALICSMELLS,fall,moderate,3.91,668,0.36,0.34,0.3
Byerley,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SPICES,fall,long_lasting,3.86,287,0.45,0.32,0.23
Carlisle,popular,WOODSANDMOSSES,SPICES,SPICES,winter,eternal,4.42,1819,0.35,0.34,0.31
Cassili,popular,FLOWERS,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,spring,moderate,3.89,1026,0.38,0.35,0.27
Darcy,popular,CITRUSSMELLS,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,fall,moderate,3.45,413,0.36,0.32,0.32
Darley,popular,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,SPICES,spring,long_lasting,4.13,414,0.38,0.34,0.28
Galloway,popular,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,long_lasting,4.02,856,0.39,0.32,0.29
Godolphin,popular,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,FRUITSVEGETABLESANDNUTS,winter,long_lasting,4.25,1378,0.42,0.3,0.28
Greenley,popular,WOODSANDMOSSES,CITRUSSMELLS,FRUITSVEGETABLESANDNUTS,spring,long_lasting,4.05,565,0.37,0.35,0.28
Haltane,popular,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,WOODSANDMOSSES,winter,long_lasting,4.14,50,0.34,0.33,0.33
Herod,popular,GREENSHERBSANDFOUGERES,SPICES,SPICES,winter,long_lasting,4.48,4684,0.35,0.33,0.31
Ispazon,popular,CITRUSSMELLS,SPICES,GREENSHERBSANDFOUGERES,spring,long_lasting,3.87,176,0.35,0.33,0.32
Kalan,popular,SPICES,WOODSANDMOSSES,SPICES,fall,long_lasting,3.65,1071,0.35,0.33,0.31
Layton,popular,SPICES,SPICES,SPICES,fall,long_lasting,4.46,4930,0.37,0.32,0.31
Layton Exclusif,popular,WOODSANDMOSSES,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,long_lasting,4.39,1211,0.46,0.28,0.26
Lippizan,popular,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,3.9,188,0.45,0.29,0.26
Meliora,popular,FRUITSVEGETABLESANDNUTS,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,4.04,1347,0.48,0.26,0.25
Nisean,popular,WOODSANDMOSSES,SPICES,MUSKAMBERANIMALICSMELLS,fall,long_lasting,4.12,370,0.41,0.31,0.28
Oriana,popular,SWEETSANDGOURMANDSMELLS,CITRUSSMELLS,WHITEFLOWERS,spring,moderate,3.83,689,0.42,0.34,0.25
Pegasus,popular,FRUITSVEGETABLESANDNUTS,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,eternal,4.14,2495,0.37,0.34,0.29
Pegasus Exclusif,popular,WOODSANDMOSSES,SPICES,FRUITSVEGETABLESANDNUTS,winter,long_lasting,4.19,377,0.34,0.34,0.33
Percival,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,summer,long_lasting,4.12,1313,0.34,0.33,0.33
Safanad,popular,SWEETSANDGOURMANDSMELLS,WHITEFLOWERS,CITRUSSMELLS,fall,moderate,4.21,1025,0.37,0.32,0.31
Sedbury,popular,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,FLOWERS,spring,long_lasting,3.8,416,0.38,0.32,0.3
Sedley,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,SPICES,summer,moderate,4.08,712,0.36,0.35,0.29
Shagya,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,fall,long_lasting,3.94,329,0.44,0.29,0.26
Tolla Pegasus,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,FRUITSVEGETABLESANDNUTS,SPICES,winter,eternal,4.17,12,0.34,0.33,0.33
Habdan,popular,MUSKAMBERANIMALICSMELLS,SPICES,SWEETSANDGOURMANDSMELLS,fall,long_lasting,4.27,767,0.44,0.31,0.25
Hamdani,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,winter,long_lasting,3.67,265,0.38,0.35,0.27
Kuhuyan,popular,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,SPICES,fall,long_lasting,4.03,213,0.36,0.33,0.31
Oajan,popular,MUSKAMBERANIMALICSMELLS,SPICES,SPICES,winter,eternal,4.4,2072,0.35,0.33,0.32
Delina,popular,FLOWERS,FLOWERS,FRUITSVEGETABLESANDNUTS,spring,long_lasting,4.08,4039,0.36,0.34,0.3
Delina Exclusif,popular,FLOWERS,FRUITSVEGETABLESANDNUTS,SPICES,fall,eternal,4.21,1986,0.37,0.32,0.31
Delina La Rosee,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,summer,moderate,4.11,606,0.36,0.33,0.31
Anamcara,popular,WHITEFLOWERS,CITRUSSMELLS,WOODSANDMOSSES,spring,long_lasting,4.11,152,0.45,0.31,0.24
Cavatina,popular,WHITEFLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,spring,moderate,3.93,148,0.47,0.26,0.26
Erawan,popular,GREENSHERBSANDFOUGERES,GREENSHERBSANDFOUGERES,SPICES,spring,moderate,4.06,484,0.45,0.3,0.25
Fleur de Lalita,popular,FLOWERS,WHITEFLOWERS,GREENSHERBSANDFOUGERES,spring,moderate,3.97,399,0.4,0.37,0.24
Issara,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SWEETSANDGOURMANDSMELLS,fall,long_lasting,4.26,555,0.38,0.37,0.24
Le Pavillon D'Or,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,GREENSHERBSANDFOUGERES,spring,moderate,4.02,280,0.37,0.32,0.31
Melodie de L'Amour,popular,WHITEFLOWERS,FLOWERS,MUSKAMBERANIMALICSMELLS,spring,moderate,4.13,471,0.5,0.27,0.23
Moonlight In Chiangmai,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,CITRUSSMELLS,spring,moderate,3.9,248,0.37,0.32,0.31
Oudh Infini,popular,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,eternal,3.56,538,0.37,0.35,0.28
Splendiris,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,WOODSANDMOSSES,spring,moderate,3.99,377,0.43,0.3,0.27
Papyrus Oud 71,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,fall,long_lasting,4.12,184,0.43,0.29,0.28
Tomboy Neroli 65,popular,WHITEFLOWERS,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,summer,moderate,3.69,153,0.43,0.34,0.24
Wake Up World,popular,MUSKAMBERANIMALICSMELLS,CITRUSSMELLS,SPICES,fall,moderate,3.9,10,0.47,0.3,0.24
Woody Perfecto 107,popular,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,3.89,170,0.34,0.34,0.31
Aimer,popular,SWEETSANDGOURMANDSMELLS,SPICES,CITRUSSMELLS,winter,weak,4,12,0.42,0.29,0.28
Parisian Dream,popular,SWEETSANDGOURMANDSMELLS,SWEETSANDGOURMANDSMELLS,SPICES,fall,moderate,4.07,14,0.39,0.3,0.3
Resiste !,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,fall,weak,3.9,21,0.45,0.27,0.27
Beautiful Girl,popular,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,SWEETSANDGOURMANDSMELLS,fall,long_lasting,4,9,0.38,0.36,0.26
Blossom Delight,popular,WHITEFLOWERS,FLOWERS,FLOWERS,summer,long_lasting,4.11,9,0.4,0.33,0.27
Only Love,popular,FRUITSVEGETABLESANDNUTS,WOODSANDMOSSES,SWEETSANDGOURMANDSMELLS,summer,long_lasting,3.5,6,0.34,0.33,0.32
Bois & Or,popular,WOODSANDMOSSES,SPICES,MUSKAMBERANIMALICSMELLS,fall,moderate,4.08,26,0.41,0.35,0.24
Bois & Pluie,popular,WOODSANDMOSSES,SPICES,WOODSANDMOSSES,winter,moderate,4.33,36,0.41,0.32,0.27
Bois & Vetiver,popular,GREENSHERBSANDFOUGERES,SPICES,WOODSANDMOSSES,spring,moderate,4.15,33,0.43,0.31,0.26
Black Agent,popular,MUSKAMBERANIMALICSMELLS,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,4.27,90,0.36,0.35,0.29
Gold Edition Oud,popular,WOODSANDMOSSES,SPICES,WOODSANDMOSSES,winter,long_lasting,3.94,49,0.39,0.34,0.27
Pure Essence,popular,WOODSANDMOSSES,SPICES,SPICES,spring,moderate,3.92,24,0.41,0.32,0.27
Sunset Boulevard,popular,SPICES,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,spring,moderate,3.29,7,0.38,0.38,0.24
Or Black,popular,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,winter,long_lasting,4.41,144,0.45,0.28,0.28
Or Boreal,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,fall,moderate,4.1,60,0.41,0.32,0.26
Or Dream,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,winter,weak,4.17,6,0.36,0.33,0.31
Or Night,popular,WOODSANDMOSSES,SPICES,WOODSANDMOSSES,fall,moderate,4.11,9,0.35,0.33,0.32
Or Star,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,winter,weak,3.08,12,0.38,0.35,0.27
Black Granit,popular,WOODSANDMOSSES,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,fall,weak,3.62,13,0.43,0.31,0.27
Green Emerald,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,eternal,4,1,0.37,0.32,0.31
Grey Quartz,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,4.23,30,0.38,0.31,0.31
Grey Sapphire,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,SPICES,fall,moderate,3.9,10,0.37,0.32,0.31
My Diamond,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,spring,moderate,4,34,0.41,0.33,0.25
Purple Ruby,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,SWEETSANDGOURMANDSMELLS,winter,long_lasting,3.59,108,0.38,0.38,0.24
Red Amber,popular,GREENSHERBSANDFOUGERES,SPICES,CITRUSSMELLS,fall,long_lasting,4.36,39,0.39,0.32,0.29
Girl,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,WHITEFLOWERS,spring,moderate,4.14,7,0.38,0.32,0.3
Gold Edition,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,winter,long_lasting,3.8,5,0.36,0.35,0.29
Lovissima,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,fall,moderate,4,27,0.44,0.29,0.27
Purple Lady,popular,SPICES,SPICES,SWEETSANDGOURMANDSMELLS,fall,moderate,3.17,12,0.39,0.32,0.29
Atelier Bleu,popular,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,winter,long_lasting,4,4,0.39,0.33,0.28
Chambre Rouge,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,fall,moderate,3.88,8,0.35,0.33,0.33
Dogon,popular,MUSKAMBERANIMALICSMELLS,SPICES,WOODSANDMOSSES,winter,moderate,4.07,15,0.42,0.3,0.28
Pompei,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SPICES,fall,very_weak,4,5,0.35,0.34,0.3
Safed,popular,WOODSANDMOSSES,CITRUSSMELLS,GREENSHERBSANDFOUGERES,summer,very_weak,2.5,2,0.36,0.33,0.31
Fauve De Nagada,popular,SPICES,SPICES,SWEETSANDGOURMANDSMELLS,winter,moderate,4.2,30,0.35,0.33,0.32
Nagada,popular,WOODSANDMOSSES,SPICES,FRUITSVEGETABLESANDNUTS,summer,moderate,3.95,21,0.38,0.33,0.3
Rose De Nagada,popular,MUSKAMBERANIMALICSMELLS,SWEETSANDGOURMANDSMELLS,SPICES,summer,very_weak,4.17,6,0.4,0.31,0.29
Passion Mediterrannee Avec Amour,popular,FLOWERS,WHITEFLOWERS,FLOWERS,summer,very_weak,4.67,6,0.39,0.33,0.29
Perle D'Argent,popular,WOODSANDMOSSES,FRUITSVEGETABLESANDNUTS,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,weak,3.29,7,0.34,0.34,0.32
Perle de Nuit,popular,FLOWERS,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,fall,moderate,3.97,37,0.39,0.32,0.29
Perle Pour Elle,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,fall,long_lasting,3.77,26,0.43,0.3,0.28
Perle Precieuse,popular,FRUITSVEGETABLESANDNUTS,FLOWERS,GREENSHERBSANDFOUGERES,spring,moderate,4.17,65,0.36,0.35,0.29
Perle Royale,popular,SWEETSANDGOURMANDSMELLS,WHITEFLOWERS,CITRUSSMELLS,fall,moderate,3.95,66,0.38,0.31,0.31
Perle Verte,popular,SPICES,WHITEFLOWERS,WOODSANDMOSSES,summer,moderate,4.14,42,0.38,0.36,0.26
Pluie de Perles,popular,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,fall,moderate,3.11,9,0.35,0.33,0.32
Pure Perle,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,WOODSANDMOSSES,fall,moderate,4.12,56,0.35,0.34,0.31
Balle de Match,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SPICES,summer,moderate,4.33,3,0.36,0.35,0.29
Ballon D'Or,popular,CITRUSSMELLS,WOODSANDMOSSES,SPICES,spring,moderate,4,1,0.36,0.33,0.31
Golden Gloves,popular,SPICES,SPICES,WOODSANDMOSSES,winter,weak,5,1,0.38,0.33,0.29
Passion Course,popular,CITRUSSMELLS,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,spring,weak,2.67,3,0.38,0.31,0.3
Sultan Blanc,popular,CITRUSSMELLS,SPICES,FRUITSVEGETABLESANDNUTS,summer,moderate,3.85,13,0.35,0.32,0.32
Sultan Noir,popular,MUSKAMBERANIMALICSMELLS,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,long_lasting,4.21,217,0.37,0.33,0.3
Sultan Or,popular,WHITEFLOWERS,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,spring,long_lasting,3.95,22,0.42,0.32,0.26
Sultan Rose,popular,SPICES,FLOWERS,WOODSANDMOSSES,spring,moderate,3.92,26,0.42,0.31,0.27
Antigua,popular,CITRUSSMELLS,FRUITSVEGETABLESANDNUTS,GREENSHERBSANDFOUGERES,summer,moderate,4.03,182,0.41,0.33,0.26
Ilanguara,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,SPICES,fall,moderate,4.05,40,0.35,0.33,0.32
Rouge Avignon,popular,WOODSANDMOSSES,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,long_lasting,4.09,360,0.36,0.34,0.3
L'Eau de Phaedon,popular,CITRUSSMELLS,WHITEFLOWERS,GREENSHERBSANDFOUGERES,spring,weak,3.71,42,0.36,0.33,0.31
Poivre Colonial,popular,SPICES,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,spring,very_weak,3.87,39,0.37,0.35,0.28
Ambre Gris,popular,MUSKAMBERANIMALICSMELLS,SPICES,SWEETSANDGOURMANDSMELLS,fall,long_lasting,4.11,1802,0.45,0.32,0.23
Balmain de Balmain,popular,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,spring,long_lasting,4.16,572,0.35,0.33,0.32
Balmain H&M,popular,WOODSANDMOSSES,WHITEFLOWERS,SPICES,winter,moderate,3.93,43,0.43,0.33,0.24
Balmain Homme,popular,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,fall,moderate,3.65,171,0.38,0.31,0.3
BalMan,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SPICES,fall,long_lasting,4.2,130,0.35,0.33,0.32
Balmya de Balmain,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,fall,long_lasting,3.7,291,0.34,0.33,0.33
Eau d'Amazonie de Balmain,popular,FRUITSVEGETABLESANDNUTS,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,summer,moderate,4.09,44,0.35,0.35,0.3
Eau d'Ivoire,popular,FRUITSVEGETABLESANDNUTS,FLOWERS,SWEETSANDGOURMANDSMELLS,spring,weak,3.62,40,0.35,0.33,0.31
Eau d’Ivoire,popular,FLOWERS,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,spring,moderate,3.86,349,0.39,0.34,0.26
Ebene,popular,GREENSHERBSANDFOUGERES,SPICES,WOODSANDMOSSES,fall,long_lasting,4.44,96,0.41,0.3,0.29
Elysees 64 83,popular,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,fall,long_lasting,4.85,13,0.36,0.34,0.3
Ivoire,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,FLOWERS,spring,long_lasting,3.98,1461,0.37,0.35,0.28
Ivoire de Balmain,popular,GREENSHERBSANDFOUGERES,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,long_lasting,4.1,1025,0.37,0.33,0.3
Jolie Madame,popular,GREENSHERBSANDFOUGERES,WHITEFLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,4.26,868,0.34,0.34,0.32
La Mome,popular,MUSKAMBERANIMALICSMELLS,SWEETSANDGOURMANDSMELLS,FLOWERS,fall,moderate,4.15,228,0.4,0.31,0.29
Miss Balmain,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,fall,long_lasting,4.23,559,0.36,0.34,0.3
Monsieur Balmain,popular,CITRUSSMELLS,SPICES,GREENSHERBSANDFOUGERES,summer,moderate,4.45,11,0.43,0.29,0.28
Vent Vert,popular,GREENSHERBSANDFOUGERES,GREENSHERBSANDFOUGERES,SPICES,spring,moderate,4.11,816,0.43,0.31,0.27
Vent Vert The Original,popular,GREENSHERBSANDFOUGERES,SPICES,GREENSHERBSANDFOUGERES,spring,moderate,4.8,86,0.4,0.3,0.3
Extatic,popular,WOODSANDMOSSES,FLOWERS,FRUITSVEGETABLESANDNUTS,fall,moderate,3.62,938,0.36,0.33,0.31
Extatic Eau de Toilette,popular,FRUITSVEGETABLESANDNUTS,FLOWERS,FLOWERS,spring,moderate,3.61,329,0.38,0.33,0.29
Extatic Gold Musk,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,WHITEFLOWERS,fall,moderate,4.05,286,0.41,0.34,0.25
Extatic Intense Gold,popular,MUSKAMBERANIMALICSMELLS,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,4.12,173,0.37,0.35,0.28
Extatic Tiger Orchid,popular,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,SPICES,fall,long_lasting,4.03,152,0.35,0.35,0.3
Animal Mondain,popular,GREENSHERBSANDFOUGERES,GREENSHERBSANDFOUGERES,SWEETSANDGOURMANDSMELLS,fall,moderate,4,82,0.34,0.33,0.33
Aqaysos Glass Bottle,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,summer,moderate,4.38,42,0.41,0.36,0.23
Mecanique du Desir,popular,MUSKAMBERANIMALICSMELLS,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,long_lasting,4.29,41,0.36,0.32,0.31
Superlady,popular,FRUITSVEGETABLESANDNUTS,FLOWERS,SWEETSANDGOURMANDSMELLS,fall,moderate,3.85,74,0.43,0.29,0.28
Appelez-Moi Seychelles,popular,WHITEFLOWERS,FRUITSVEGETABLESANDNUTS,GREENSHERBSANDFOUGERES,summer,moderate,3.51,124,0.45,0.29,0.26
Entre Ciel et Mer,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,summer,moderate,3.82,125,0.35,0.34,0.31
Jangala,popular,WOODSANDMOSSES,SPICES,FRUITSVEGETABLESANDNUTS,summer,moderate,3.77,127,0.44,0.3,0.25
Long Courrier,popular,SPICES,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,3.94,152,0.41,0.32,0.27
Mojito Chypre,popular,GREENSHERBSANDFOUGERES,CITRUSSMELLS,FRUITSVEGETABLESANDNUTS,summer,moderate,3.53,160,0.39,0.31,0.3
